field_name,source_file_or_adapter_key,unit,type,valid_range,primary_or_secondary,hypothesis_ids,zero_block_behavior,NA_rule,aggregation_rule,paired_control_requirement,interpretation_limit
breach_count,Models/PoCol/stage2/adapter.py::results_schema['breach_count'],count,int,>= 0,SECONDARY,IP-H7,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",required,"operational measurement only; establishes no consensus-security, incentive-compatibility, fairness or Sybil-resistance property"
total_duration_below_floor,Models/PoCol/stage2/adapter.py::results_schema['total_duration_below_floor'],second,float,>= 0,PRIMARY,IP-H7,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",required,operational ACTIVE-CAPACITY availability only; not a consensus-security guarantee
maximum_hash_rate_deficit,Models/PoCol/stage2/adapter.py::results_schema['maximum_hash_rate_deficit'],nonces/second,float,>= 0,SECONDARY,IP-H7,defined,NA when the floor is disabled,"one value per physical run; never averaged over rounds, miners or blocks",required,"operational measurement only; establishes no consensus-security, incentive-compatibility, fairness or Sybil-resistance property"
floor_unattainable_count,Models/PoCol/stage2/adapter.py::results_schema['floor_unattainable_count'],count,int,>= 0,PRIMARY,IP-H7,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",required,counts observations where no reserve activation could restore the floor
reserve_activations_completed,Models/PoCol/stage2/adapter.py::results_schema['reserve_activations_completed'],count,int,>= 0,SECONDARY,IP-H7,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",required,reserve activation may INCREASE energy; it never saves energy
duplicate_nonce_count,Models/PoCol/stage2/adapter.py::results_schema['duplicate_nonce_count'],count,int,>= 0,PRIMARY,IP-H9,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",gate: must be 0 in every honest condition,"deterministic integrity gate, no p-value"
post_round_evaluation_record_count,"Models/PoCol/stage2/adapter.py::results_schema['post_round_evaluation_count'] (identical causal computation) cross-checked against tests/thesis_revision_v45/stage2/test_stage5d_post_round_evidence_integrity.py::post_round_audit (accepted Stage-5D definition, tolerance 1e-9)",count,int,>= 0,PRIMARY,IP-H9,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",gate: must be 0,"deterministic integrity gate, no p-value"
post_round_evaluation_nonce_count,"DERIVED via tests/thesis_revision_v45/stage2/test_stage5d_post_round_evidence_integrity.py::post_round_audit (accepted Stage-5D definition, tolerance 1e-9) over Models/PoCol/stage2/context.py::RunContext.evaluation_ledger + round_terminal_times",count,int,>= 0,PRIMARY,IP-H9,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",gate: must be 0,"deterministic integrity gate, no p-value"
evaluation_missing_terminal_time_count,"DERIVED via tests/thesis_revision_v45/stage2/test_stage5d_post_round_evidence_integrity.py::post_round_audit (accepted Stage-5D definition, tolerance 1e-9) over Models/PoCol/stage2/context.py::RunContext.evaluation_ledger + round_terminal_times",count,int,>= 0,PRIMARY,IP-H9,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",gate: must be 0,a missing terminal time is NEVER silently treated as valid
physical_evaluation_count,Models/PoCol/stage2/adapter.py::results_schema['physical_evaluation_count'],count,int,>= 0,SECONDARY,IP-H9,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",required,physical truth derived from the immutable evaluation ledger
evaluation_ledger_nonce_total,Models/PoCol/stage2/adapter.py::results_schema['evaluation_ledger_nonce_total'],count,int,>= 0,SECONDARY,IP-H9,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",required,liveness denominator: a zero gate over an empty ledger would be vacuous
coverage_gap_nonce_count,Models/PoCol/stage2/adapter.py::results_schema['coverage_gap_nonce_count'],count,int,>= 0,PRIMARY,IP-H9;IP-H10c,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",required,measures a MODELED coverage gap; establishes no security property
physical_frontier_rewind_count,Models/PoCol/stage2/adapter.py::results_schema['physical_frontier_rewind_count'],count,int,>= 0,PRIMARY,IP-H9;IP-H10d,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",gate: must be 0,the physical committed frontier is monotonic ground truth
work_reward_union_residual,Models/PoCol/stage2/adapter.py::results_schema['work_reward_union_residual'],nonces,float,>= 0,PRIMARY,IP-H9,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",gate: must be 0,unique physical work is rewarded exactly once
nonterminal_lease_count,Models/PoCol/stage2/adapter.py::results_schema['nonterminal_lease_count'],count,int,>= 0,PRIMARY,IP-H9,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",gate: must be 0,lease lifecycle closure
nonterminal_reassignment_request_count,Models/PoCol/stage2/adapter.py::results_schema['nonterminal_reassignment_request_count'],count,int,>= 0,PRIMARY,IP-H9,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",gate: must be 0,reassignment lifecycle closure
nonterminal_activation_request_count,DERIVED: count of run_ctx.activation_requests whose status is not in Models/PoCol/stage2/security.py::TERMINAL_REQUEST_STATUSES,count,int,>= 0,PRIMARY,IP-H7;IP-H9,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",gate: must be 0,reserve-activation lifecycle closure
maximum_energy_identity_residual_j,DERIVED: max over miners of |sum_states P(state)*t(state) - miner_energy_joules|,joule,float,>= 0,PRIMARY,IP-H2,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",gate: <= 1e-8 J,"accounting identity, no p-value"
maximum_residency_partition_residual_s,DERIVED: max over miners of |sum_states t(state) - (run_end_time - run_start_time)|,second,float,>= 0,PRIMARY,IP-H2,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",gate: <= 1e-9 s,"accounting identity, no p-value"
maximum_q_adv,Models/PoCol/stage2/adapter.py::results_schema['maximum_q_adv'],proportion,float or NA,0..1,SECONDARY,IP-H10a;IP-H10b;IP-H10c;IP-H10d,defined,NA when H_active == 0; NEVER imputed and NEVER numerically compared,"one value per physical run; never averaged over rounds, miners or blocks",required,adversarial capacity share of a MODELED population; not an attack-resistance claim
time_weighted_q_adv,Models/PoCol/stage2/adapter.py::results_schema['time_weighted_q_adv'],proportion,float or NA,0..1,SECONDARY,IP-H10a;IP-H10b;IP-H10c;IP-H10d,defined,NA when the q_adv-active duration is 0,"one value per physical run; never averaged over rounds, miners or blocks",required,not an attack-resistance claim
adversarial_reevaluation_count,Models/PoCol/stage2/adapter.py::results_schema['adversarial_reevaluation_count'],count,int,>= 0,PRIMARY,IP-H10d,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",required: matched honest control D00,a BOUNDED experimental effect of a modeled behaviour; NOT evidence of attack resistance
duplicate_work_reward_prevented_count,Models/PoCol/stage2/adapter.py::results_schema['duplicate_work_reward_prevented_count'],count,int,>= 0,SECONDARY,IP-H10d,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",required,must be >= adversarial_reevaluation_count
delayed_wake_count,Models/PoCol/stage2/adapter.py::results_schema['delayed_wake_count'],count,int,>= 0,PRIMARY,IP-H10a,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",required,bounded modeled behaviour; not an attack-resistance claim
solution_withholding_count,Models/PoCol/stage2/adapter.py::results_schema['solution_withholding_count'],count,int,>= 0,PRIMARY,IP-H10b,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",required,bounded modeled behaviour; not a selfish-mining-resistance claim
false_exhaustion_accepted,Models/PoCol/stage2/adapter.py::results_schema['false_exhaustion_accepted'],count,int,>= 0,PRIMARY,IP-H10c,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",required,"bounded modeled behaviour; the audit is a MODELED abstraction, not a cryptographic proof"
incentive_reconciliation_residual,Models/PoCol/stage2/adapter.py::results_schema['incentive_reconciliation_residual'],reward units,float,>= 0,SECONDARY,IP-H9,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",gate: must be 0,EXPLORATORY in Stage 7; incentive quantities are never a primary confirmatory endpoint
