numeric_value,metric_name,comparator,scenario_ids,miner_count,horizon_s,seed_count,source_file,source_row_or_field,allowed_wording,forbidden_wording,decision_status
241.75,W01 mean accepted blocks,matched same-template PoW control,P02 vs W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.W01.rounds_accepted = 241.75,"W01 produced 241.75 accepted blocks",,SUPPORTED
67.70%,accepted-block ratio,matched same-template PoW control (W01),P02 vs W01,20,300,12,docs/thesis_revision_v45/stage_08u/STAGE_08U_HYPOTHESIS_DECISIONS.csv,H-U2 mean_accepted_blocks_ratio_P02_over_W01_ge_0.90 = 0.6770 (FAIL),"67.70% of the matched same-template PoW control's accepted blocks","67.70% of PoW throughput generally; 67.70% of Bitcoin",FAIL (service gate; visible)
1.1735 s,P02 median round duration,matched same-template PoW control (W01),P02 vs W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.P02.median_round_duration = 1.1735,"P02 median round duration 1.1735 s",,SUPPORTED
0.2249 s,W01 median round duration,matched same-template PoW control,P02 vs W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.W01.median_round_duration = 0.2249,"W01 median round duration 0.2249 s",,SUPPORTED
5.2190,median-round-duration ratio,matched same-template PoW control (W01),P02 vs W01,20,300,12,docs/thesis_revision_v45/stage_08u/STAGE_08U_HYPOTHESIS_DECISIONS.csv,H-U2 mean_median_round_duration_ratio = 5.2190 (FAIL),"5.219-times larger median round duration than the matched control",,FAIL (service gate; visible)
139712,P02 physical evaluations,matched same-template PoW control (W01),P02 vs W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.P02.total_physical_evaluations = 139712,"P02 performed 139,712 physical evaluations",,SUPPORTED
1158562,W01 physical evaluations,matched same-template PoW control,P02 vs W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.W01.total_physical_evaluations = 1158562,"W01 performed 1,158,562 physical evaluations",,SUPPORTED
87.9%,relative physical-evaluation reduction,matched same-template PoW control (W01),P02 vs W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,"derived 1 - 139712/1158562 = 0.8794","approximately 87.9% fewer physical evaluations than the matched control",,SUPPORTED
0,P02 duplicate physical evaluations,honest common-template configuration,P02,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.P02.duplicate_physical_evaluations = 0,"zero exact-input duplicate evaluations","eliminates all wasted work",SUPPORTED
942371,W01 duplicate physical evaluations,matched same-template PoW control,W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.W01.duplicate_physical_evaluations = 942371,"the uncoordinated matched control duplicated 942,371 evaluations",,SUPPORTED
1173.2,P02 accepted blocks per million physical evaluations,matched same-template PoW control (W01),P02 vs W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.P02.blocks_per_million_physical_evaluations = 1173.2,"1,173.2 accepted blocks per million evaluations",,SUPPORTED
208.7,W01 accepted blocks per million physical evaluations,matched same-template PoW control,W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.W01.blocks_per_million_physical_evaluations = 208.7,"208.7 accepted blocks per million evaluations",,SUPPORTED
9.898e-5 kWh,P02 energy per accepted block,matched same-template PoW control (W01),P02 vs W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.P02.energy_per_accepted_block_kwh = 9.898e-5,"P02 energy per accepted block 9.898e-5 kWh",,SUPPORTED
1.2272e-4 kWh,W01 energy per accepted block,matched same-template PoW control,P02 vs W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.W01.energy_per_accepted_block_kwh = 1.2272e-4,"W01 energy per accepted block 1.2272e-4 kWh",,SUPPORTED
19.3%,energy-per-accepted-block reduction,matched same-template PoW control (W01),P02 vs W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,"derived 1 - 9.898e-5/1.2272e-4 = 0.1936","approximately 19.3% less energy per accepted block than the matched control",,SUPPORTED
23.13 s,P02 mean duration below useful floor,preregistered 15 s operational limit,P02,20,300,12,docs/thesis_revision_v45/stage_08u/STAGE_08U_HYPOTHESIS_DECISIONS.csv,H-U5 mean_duration_below_useful_floor_le_15s = 23.13 (FAIL),"23.13 s below the useful-work floor, exceeding the 15 s preregistered limit",,FAIL (H-U5; visible)
0.4535,P02 handoffs/reassignments per closed round,within-PoCol,P02,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.P02.reassignments_per_closed_round = 0.4535,"0.4535 handoffs/reassignments per closed round",,SUPPORTED (H-U1 pass)
0,P02 activation requests seated,within-PoCol vs P01,P02,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.P02.single_reserve_requests_seated = 0,"zero reserve-activation requests seated",,SUPPORTED (H-U1 pass)
NOT LICENSED,Stage-8U single-handoff claim,joint H-U1 AND H-U2 AND H-U3 AND H-U5 AND integrity,P02,20,300,12,docs/thesis_revision_v45/stage_08u/STAGE_08U_HYPOTHESIS_DECISIONS.csv,OVERALL single-handoff policy claim = NOT LICENSED,"the joint Stage-8U claim was not licensed","the single-handoff policy is proven/licensed/dominant",NOT LICENSED
8.420833333 kWh,total fixed-horizon energy (A1 invariant),matched aggregate hash rate and power,Stage-6A B/C configs,100-500,10000,30,docs/Raed-Rasheed-draft-44-00.docx,Chapter 7 Table 7.1 / Figure 7.4 (Stage-6A),"total fixed-horizon energy is an accounting invariant of 8.420833333 kWh; partitioning alone does not reduce energy","partitioning reduces energy; PoCol saves 8.42 kWh over PoW",SUPPORTED (retained macro-scale finding)
0,duplicate candidate identities (H1, macro scale),common immutable template, disjoint ranges,Stage-6A B3/C1,100-500,10000,30,docs/Raed-Rasheed-draft-44-00.docx,Chapter 7 Table 7.1 / Figure 7.5 (Stage-6A H1),"disjoint assignment eliminates exact-input duplicate candidate identities among honest miners",,SUPPORTED (retained macro-scale finding)
