id,chapter,section,object,change_type,original_text,revised_text,reason,authoritative_source,red
S7B-011,7,7.4.2,p:7.4.2,replace_in_place,"When comparing PoW to PoCol, the simulated PoCol abstraction achieved significantly higher energy efficiency through greater energy and carbon cost reductions than the PoW baseline. This chapter shows that the operational behaviour of both PoCol and PoW show similar trajectories of lowering energy and carbon costs while concurrently maintaining the same style of permissionless chain growth process as PoW, however, to a lesser extent than PBFT.","The corrected experiments show equal total fixed-horizon energy across the compared continuous configurations (accounting invariant A1; maximum relative deviation 3.6e-16), so no total-energy or carbon advantage from partitioning can be claimed. The measured advantage of disjoint assignment is the elimination of duplicate candidate-header evaluations under the modeled immutable-template assumptions; any energy or carbon reduction observed elsewhere is idle-driven (explicit idle state under heterogeneous completion) or participation-driven, never a consequence of partitioning alone.",Replace higher-efficiency overclaim,STAGE_06_CONFIRMATORY_RESULTS,yes
S7B-012,7,7.4.3,p:7.4.3-carbon,replace_in_place,"Figure 7.8 compares total carbon footprint, which follows the same shape as the energy curves because the simulator converts energy into  using a fixed grid emission factor. At 400 miners, the total  of PoW is about 14.7 kg, compared with about 0.202 kg for PoCol. Thus, the reduction in carbon footprint is not a marginal improvement but a structural one.","Because carbon is a fixed linear function of energy in the simulator (a constant grid emission factor), and total fixed-horizon energy is invariant across the compared continuous configurations, no structural carbon reduction from partitioning is supported. Carbon reductions track energy reductions and therefore occur only where energy is actually reduced - under an explicit idle policy with heterogeneous completion, or under reduced participation - not from disjoint assignment itself.",Remove structural carbon-reduction claim,STAGE_06_RESULTS_REPORT,yes
S7B-013,7,7.4.3,p:7.4.3-tradeoff,replace_in_place,"The trade-off appears when these gains are compared with stale-block behavior. PoCol simultaneously improves throughput and reduces energy, which is unusual and desirable, however, it pays for this advantage with a sharp increase in stale blocks. Therefore, the present prototype should be interpreted as energy-efficient and performance-promising, but not yet fully optimized in protocol stability. The core research contribution is that energy reduction is achieved without sacrificing useful throughput, even though the resulting coordination dynamics still require refinement.","Total fixed-horizon energy is invariant under matched aggregate hash rate and power (A1), so a simultaneous energy-reduction-and-throughput claim is not supported. The single-height stale-race quantity (single_height_stales_per_accepted_block) is a secondary diagnostic only: it is reported as a count-rate with seed/run-cluster bootstrap uncertainty and with N=100 and N=500 kept separate, and no binomial or Wilson interval is applied to it. It is not a chain-wide fork rate, a fork-resolution model, or a security result. The prototype's genuine, bounded finding is that disjoint assignment elimin",Remove energy overclaim and H7 over-scope,STAGE_06_SECONDARY_DIAGNOSTICS; STAGE_06A_H7_INTERVAL_AUDIT,yes
S7B-014,7,7.4.3,p:7.4.3-idle,replace_in_place,"The energy-saving and continuous-performance policies represent different operating objectives. Under the idle policy, miners stop active hashing after completing their assigned ranges, and energy savings depend on the measured idle power and idle duration. Under the continuous policy, miners remain active and may process further non-overlapping work. If active power and duration are equal to the PoW baseline, this mode should not be interpreted as inherently energy-saving. Any observed throughput advantage must be limited to the implemented configuration and reported together with the corresp","The energy-saving (C2) and continuous policies represent different operating objectives. Under the idle policy a miner stops active hashing after completing its assigned range and enters a lower-power idle state; the preregistered idle-saving identity, saving = sum over miners of idle_time_j x (P_active_j - P_idle_j) / 3,600,000, was verified directly from the per-miner records for all 570 C2 runs (maximum absolute residual 7.1e-15 kWh, tolerance 1e-9, zero failures). Under homogeneous hash rates with equal ranges the completion times coincide, no idle arises, and total energy remains at the 8",Align idle policy with verified H3 identity and H5 trade-off,STAGE_06A_H3_IDENTITY_AUDIT,yes
S7B-015,8,8.2,p:8.2-rq2,replace_in_place,"RQ2 focused on the question of how much energy could be saved when collaboration is used instead of the traditional model of competition, based on the simulation evidence provided in Chapters 6 and 7 about the energy-saving potential of PoCol. The results indicate that the simulated PoCol abstraction requires substantially lower energy expenditures than the PoW baseline under the evaluated simulation assumptions, this leads to fairly predictable carbon-footprint ratios, based on energy consumption values obtained for the energy expenditures presented. While the absolute figures vary by the mod","RQ2 asked how much energy collaboration could save relative to competition. The corrected answer is bounded by the fixed-horizon energy invariant: at matched aggregate hash rate and power, collaboration and nonce-domain partitioning alone do not reduce total energy (all continuous full-participation configurations consume 8.420833333 kWh). The confirmed benefit of disjoint assignment is the elimination of duplicate candidate identities among honest miners under the modeled immutable common-template and disjoint-range assumptions; genuine energy reductions occur only through an explicit lower-p",Replace RQ2 obsolete energy answer,STAGE_06_RESULTS_REPORT,yes
S7B-016,8,8.3,p:8.3-empirical,replace_in_place,"At the empirical level, the thesis provides simulation-based comparative evidence. The conducted experiments show that the offered collaborative model allows achieving noticeable decrease in energy consumption and carbon emissions compared to PoW based system at the given assumptions while maintaining the throughput at a satisfactory level as well. However, it was found out that there might be significant negative impact due to the stale blocks effect. This somewhat negative result is also a contribution itself. It shows where PoCol is functioning successfully and where the problems exist and ","At the empirical level, the thesis provides preregistered simulation evidence with two bounded findings: (i) under the modeled immutable common-template and disjoint-range assumptions, disjoint assignment eliminates duplicate candidate identities among honest miners (H1 ordering B1 > B2 > B3/C1, from 150 physical seed-matched run pairs summarised over 30 independent master-seed clusters; B3/C1 duplicate identities = 0); and (ii) energy reductions are idle-driven or participation-driven only, while total fixed-horizon energy is invariant under matched aggregate hash rate and power. B0 and B1 ar",Replace energy overclaim; add B0/B1 and B3/C1 scope,STAGE_06_CLAIM_CLASSIFICATION; STAGE_06A_DEPENDENCE_AUDIT,yes
S7B-017,7,7.2,p:7.2-objectives,replace_in_place,"The primary purpose of the evaluation is to ascertain whether PoCol can reduce energy use and carbon emissions compared to PoW while still maintaining acceptable performance of the blockchain. Specifically, the experiments were designed to answer three questions: Does collaborative nonce-domain allocation increase throughput or shorten the approximate confirmation time as the number of miners grows? To what extent are total energy consumption, energy per block, energy per transaction, and total  reduced? What ancillary effects arise, especially with respect to stale-block behaviour and scalability at larger miner populations [24], [67].","The primary purpose of the evaluation is to characterise PoCol's energy accounting and collaboration behaviour under a fixed measurement horizon, not to demonstrate an energy reduction relative to PoW. Specifically, the frozen experiment was designed to answer: (i) whether total fixed-horizon energy depends on miner count or on continuous full-participation configuration (accounting invariant A1); (ii) whether the common-template, disjoint-range design reduces duplicate serialized candidate-header evaluations among honest miners (H1); and (iii) what ancillary effects arise from the energy-saving idle policy, inactive miners, and finite nonce domains (H3-H8). Total energy is not treated as a PoCol-versus-PoW reduction quantity, and the propagation-delay stale behaviour is reported only as a","Reframe energy-reduction-presupposing evaluation questions to neutral, A1-consistent objectives",a1_invariant.json; STAGE_06_ANALYSIS_PLAN,yes
S7B-018,7,7.2,p:7.1-intro,replace_in_place,"Table 7.1 presents a summary of the various metrics that have been taken from the simulations output, the metrics presented in this table indicate a definite pattern, as it can be observed that PoCol consumes relatively much less energy than PoW as well as obtaining lesser energy per accepted block and per transaction, and has higher throughput levels. However, it has been noted that with the increase of the number of miners, the rates of stale blocks in PoCol have risen considerably, indicating that the collaborative mining in the present form creates considerable fork-management difficulties.","Table 7.1 summarises the corrected Stage-6A findings from the frozen 1,890-run evaluation. The dominant result is that total fixed-horizon energy is an accounting invariant (8.420833333 kWh) across every continuous full-participation configuration and every miner count, so the table reports where PoCol's collaborative design does and does not change measured quantities: it removes duplicate serialized candidate-header evaluations among honest miners (H1), and, only under the energy-saving idle policy, converts completed miners' idle time into an energy reduction relative to the fixed-power anchor (H3-H5). It does not report a reduction of total energy or carbon for PoCol relative to PoW.","Replace false ""PoCol consumes much less energy than PoW"" table intro",a1_invariant.json; STAGE_06_RESULTS_REPORT,yes
S7B-019,7,7.2,caption:old-7.1,delete,Table (7.1): Summary of the main PoCol and PoW evaluation metrics extracted from the simulation logs.,(deleted),Delete obsolete Table 7.1 caption superseded by red corrected caption (no retain-and-append),STAGE_06_RESULTS_REPORT,n/a
S7B-020,7,7.3.3,p:7.3.3-stale,replace_in_place,"While the perspective of fault-tolerance does not indicate a protocol-failure, PoCol's result does indicate sensitivity issues with respect to coordination over-head, propagation timing or round-synchronization. In practice, for PoCol, a stale-rate above 70% creates complications regarding wasted network resources, difficulties in aligning incentives and may also adversely impact confirmation-depth's effective security. Therefore, while PoCol displays strong potential in terms of operation due to designed efficiency, this efficiency is also limited by an implementation bottleneck that must be resolved prior to considering PoCol to be robust in a production environment [140], [150].","While the fault-tolerance perspective does not indicate a protocol failure, the prototype's results indicate sensitivity to coordination overhead, propagation timing, and round synchronisation. Elevated single-height stale-race counts at larger miner populations imply wasted network resources and incentive-alignment difficulties, and can weaken the effective security margin from confirmation depth. These effects are reported as a secondary diagnostic count-rate (single_height_stales_per_accepted_block, N kept separate), not a chain-wide fork or security rate. The collaborative design's removal of duplicate candidate-header evaluation is therefore limited by an implementation bottleneck that must be resolved before PoCol can be considered robust in a production environment [140], [150].",Replace unsupported >70% full-network stale/efficiency claim with H7 secondary-diagnostic framing,STAGE_06A_H7_INTERVAL_AUDIT,yes
S7B-021,7,7.6.1,p:7.6.1-rq,replace_in_place,"The results answer the thesis research questions in a nuanced way. Regarding the question of whether collaboration can reduce redundant work and energy consumption, within the evaluated simulation setting, the answer is yes: by requiring a common immutable block template in each round and assigning disjoint nonce ranges, PoCol eliminates duplicate serialized candidate-header inputs among honest miners within a mining round, and this is the mechanism behind the observed reductions. Across all evaluated miner populations, PoCol drastically lowers total energy, energy per block, energy per transaction, and total  relative to PoW. Regarding the question of whether collaboration can preserve useful performance, the answer is also broadly yes: PoCol generally improves throughput and shortens the","The results answer the thesis research questions in a nuanced way. Regarding whether collaboration can reduce redundant work, the answer within the evaluated simulation setting is yes: by requiring a common immutable block template each round and assigning disjoint nonce ranges, PoCol eliminates duplicate serialized candidate-header inputs among honest miners within a mining round (H1). This redundancy removal does not lower total fixed-horizon energy: at matched aggregate hash rate and active power, total energy is an accounting invariant (A1), independent of miner count and of continuous full-participation configuration, and carbon is a fixed linear function of that energy. Energy reductions occur only under the energy-saving idle policy, as a completion-balance versus idle-energy trade-","Replace false ""drastically lowers total energy relative to PoW"" and full-network stale claim",a1_invariant.json; STAGE_06_RESULTS_REPORT,yes
S7B-022,7,7.6.1,p:7.6.1-close,replace_in_place,"Therefore, the chapter supports the thesis claim that collaborative nonce-domain allocation is a powerful path toward sustainable blockchain consensus. At the same time, it shows that the design problem is not solved by energy efficiency alone. Chain quality, fork control, and synchronization discipline remain central requirements for a practical protocol [140], [76].","Therefore, the chapter supports a bounded claim: collaborative nonce-domain allocation removes duplicate candidate-header evaluation and, under an idle policy, enables an idle-energy trade-off, but it does not by itself reduce total fixed-horizon energy. The design problem is not solved by redundancy removal alone; chain quality, fork control, and synchronization discipline remain central requirements for a practical protocol [140], [76].","Replace ""powerful path toward sustainable consensus"" overclaim with bounded claim",STAGE_06_CLAIM_CLASSIFICATION,yes
S7B-023,7,7.7,p:7.7-summary1,replace_in_place,"In this chapter, experimental data and assessment of PoCol versus PoW were presented through the results obtained through experimentation. When comparing PoCol with PoW using the BlockSim version of the extended BlockSim framework, PoCol provided significant benefits in the areas of reduced energy use (total energy consumption, energy per block, energy per transaction & total carbon footprint) across all miner groups included in the assessment, improved throughput (generally) and shorter approximate confirmation times within the main chain.","In this chapter, the corrected experimental evaluation of PoCol was presented. Under matched aggregate hash rate and active power, total fixed-horizon energy is an accounting invariant (8.420833333 kWh) across miner counts and continuous full-participation configurations, so PoCol does not reduce total energy or carbon relative to PoW. The established results are the removal of duplicate serialized candidate-header evaluations among honest miners (H1) and an idle-energy trade-off available only under the energy-saving idle policy (H3-H5); earlier throughput and confirmation-time observations lie outside the frozen energy evaluation and are not treated as confirmatory findings.","Replace false ""reduced energy use ... total carbon footprint across all miner groups"" summary claim",a1_invariant.json,yes
S7B-024,7,7.7,p:7.7-summary2,replace_in_place,"In summary, the results provide simulation-based proof-of-concept evidence supporting the thesis hypothesis that collaborative consensus can substantially improve the energy profile of PoW-style consensus, subject to the idealized template-agreement assumptions of the prototype.","In summary, the results provide simulation-based proof-of-concept evidence that collaborative common-template consensus removes duplicate candidate-header evaluation and enables an idle-energy trade-off, without reducing total fixed-horizon energy relative to PoW, subject to the idealized template-agreement assumptions of the prototype.","Replace ""substantially improve the energy profile"" claim",STAGE_06_CLAIM_CLASSIFICATION,yes
S7B-025,7,7.7,p:7.7-limit,replace_in_place,"However, this chapter also identified a key limitation to the PoCol process, the stale-block rate (i.e., number of stale blocks as a percentage of total blocks) increases exponentially as the miner population increases. As a result, the PoCol prototype worked well as a mechanism for creating efficiencies in mining and/or processing transactions, but still requires improvements at the protocol level to process chains at a better quality and scale. Therefore, the overall results of the study validate the primary contribution of the thesis, while identifying the biggest engineering challenges that need to be addressed in the future.","This chapter also identified a key limitation of the prototype: the secondary single-height stale-race diagnostic (H7) increases with propagation delay and network size, and is reported as a diagnostic count-rate rather than a chain-wide fork or security rate. The collaborative design removes duplicate candidate-header evaluation, but the prototype still requires protocol-level improvements in template agreement and fork control before it can process chains at production quality and scale. The overall results validate the redundancy-removal contribution while identifying the main engineering challenges for future work.","Replace unsupported ""stale rate increases exponentially"" and ""creating efficiencies"" claims",STAGE_06A_H7_INTERVAL_AUDIT,yes
S7B-026,8,8.1,p:8.1-outcomes,replace_in_place,"The resulting outcomes indicate a combination of facts. On one hand, the simulated PoCol abstraction significantly reduced total energy consumption and CO2 emissions in the simulation scenarios investigated, indicating an environmentally-friendly alternative to PoW of more traditional types. However, the same experiments show that the PoCol process in its current form has utilized high numbers of stale blocks as the number of miners increased indicating that savings of energy do not produce superior levels of performance design.","The resulting outcomes indicate a combination of facts. On one hand, the simulated PoCol abstraction removes duplicate serialized candidate-header evaluation among honest miners and, under the energy-saving idle policy, converts idle time into an energy reduction relative to the fixed-power anchor; total fixed-horizon energy itself is an accounting invariant, so PoCol does not reduce total energy or CO2 relative to PoW at matched aggregate hash rate and power. On the other hand, the same experiments show that the prototype's single-height stale-race diagnostic rises with propagation delay and miner count, indicating that redundancy removal alone does not deliver superior chain-quality performance.","Replace false ""significantly reduced total energy consumption and CO2 emissions"" claim",a1_invariant.json; STAGE_06_RESULTS_REPORT,yes
S7B-027,8,8.3,p:8.3-conceptual,replace_in_place,"Three levels of contributions are identified by thesis: conceptual, methodological, and empirical. With regard to the first level, the thesis presents PoCol as a new consensus method in the class of various blockchain mechanisms. The basic idea is reducing energy consumption not only by applying some new factor or more efficient computer hardware but showing that the initial assumption about open blockchain consensus having to be organized in fully duplicated computation race can be challenged. Thus PoCol offers us a new design principle: collaborative partition of proof-of-work computations.","Three levels of contributions are identified by the thesis: conceptual, methodological, and empirical. At the conceptual level, the thesis presents PoCol as a new consensus method in the class of collaborative blockchain mechanisms. The core idea is to reduce redundant duplicated computation - challenging the assumption that open blockchain consensus must be organised as a fully duplicated computation race - rather than to claim a reduction in total fixed-horizon energy. PoCol thus offers a new design principle: collaborative partitioning of proof-of-work computation.","Reframe conceptual contribution from ""reducing energy consumption"" to reducing redundant computation",STAGE_06_CLAIM_CLASSIFICATION,yes
S7B-028,8,8.4,p:8.4-caution,replace_in_place,"Practitioners should exercise caution in their interpretation of energy savings as indicating immediate deploy ability. As demonstrated in this study, PoCol's sustainability benefits were accompanied by increased rates of stale blocks at the larger network sizes. As such, while collaborative consensus may be viewed as providing promise, practitioners should not assume that a diverse range of collaborative consensus mechanisms can be implemented in every environment. Deployments should be conducted within a controlled or semi-controlled environment, including a limited number of participants, stable connections, and significant monitoring, before proceeding to wider implementation within open networks. This careful and methodical approach aligns with the overarching learning of blockchain e","Practitioners should exercise caution in interpreting these results as indicating immediate deployability. As demonstrated in this study, PoCol's potential efficiency benefits - removal of duplicate candidate-header evaluation and an idle-energy trade-off, not a reduction in total fixed-horizon energy - were accompanied by an increased single-height stale-race diagnostic at larger network sizes. Collaborative consensus may be viewed as promising, but practitioners should not assume it can be implemented in every environment. Deployments should be conducted within a controlled or semi-controlled environment - a limited number of participants, stable connections, and significant monitoring - before wider implementation in open networks. This careful approach aligns with the overarching lesso","Replace ""sustainability benefits"" with bounded efficiency-benefit wording",STAGE_06_CLAIM_CLASSIFICATION,yes
S7B-029,7,7.4,figure,delete,Figure (7.4): Total energy consumption for PoCol and PoW,(figure and caption removed - obsolete energy model),Obsolete PoW-vs-PoCol energy/carbon figure,STAGE_06_RESULTS_REPORT,n/a
S7B-030,7,7.4,figure,delete,Figure (7.5): Energy per accepted main-chain block,(figure and caption removed - obsolete energy model),Obsolete PoW-vs-PoCol energy/carbon figure,STAGE_06_RESULTS_REPORT,n/a
S7B-031,7,7.4,figure,delete,Figure (7.6): Energy per transaction for PoCol,(figure and caption removed - obsolete energy model),Obsolete PoW-vs-PoCol energy/carbon figure,STAGE_06_RESULTS_REPORT,n/a
S7B-032,7,7.4,figure,delete,Figure (7.7): Cumulative energy over time for PoW and PoCol,(figure and caption removed - obsolete energy model),Obsolete PoW-vs-PoCol energy/carbon figure,STAGE_06_RESULTS_REPORT,n/a
S7B-033,7,7.4,figure,delete,Figure (7.8): Total carbon footprint for PoCol and PoW,(figure and caption removed - obsolete energy model),Obsolete PoW-vs-PoCol energy/carbon figure,STAGE_06_RESULTS_REPORT,n/a
S7B-034,7,7.4.1.1,figure:fig02_a1_energy_invariant.png,insert_figure,(none),"Figure (7.4): A1 accounting invariant, 8.420833333 kWh for every continuous full-participation configuration and miner count",Insert corrected Stage-6A figure (embedded image + red caption),results/stage_06/figures/fig02_a1_energy_invariant.png,yes
S7B-035,7,7.4.1.1,figure:fig01_h1_duplicate_rate.png,insert_figure,(none),Figure (7.5): H1 duplicate candidate-header evaluation rate B1>B2>B3/C1 (150 pairs; 30 clusters),Insert corrected Stage-6A figure (embedded image + red caption),results/stage_06/figures/fig01_h1_duplicate_rate.png,yes
S7B-036,7,7.4.1.1,figure:fig03_h5_completion_dispersion.png,insert_figure,(none),Figure (7.6): H5 heterogeneous-rate completion-time dispersion,Insert corrected Stage-6A figure (embedded image + red caption),results/stage_06/figures/fig03_h5_completion_dispersion.png,yes
S7B-037,7,7.4.1.1,figure:fig04_h5_c2_energy_tradeoff.png,insert_figure,(none),"Figure (7.7): H5 C2 idle-energy trade-off (completion-balance vs idle-energy, not fairness)",Insert corrected Stage-6A figure (embedded image + red caption),results/stage_06/figures/fig04_h5_c2_energy_tradeoff.png,yes
S7B-038,7,7.4.1.1,figure:fig06_h6_inactive.png,insert_figure,(none),Figure (7.8): H6 inactive-miner effects,Insert corrected Stage-6A figure (embedded image + red caption),results/stage_06/figures/fig06_h6_inactive.png,yes
